"a_id","a_uid","a_magid"
"842","1630","314"
"843","1630","314"
"844","1631","297"
"845","1633","320"
"846","1634","57"
"847","1635","312"
"848","1636","266"
"849","1639","136"
"850","1639","341"
"851","1639","271"
"852","1639","270"
"853","1639","40"
"854","1640","339"
"855","1644","280"
"856","1645","147"
"857","1645","270"
"858","1646","293"
"859","1646","293"
"860","1650","247"
"861","1651","82"
"862","1652","33"
"863","1654","167"
"864","1655","314"
"865","1656","35"
"866","1656","34"
"867","1658","293"
"868","1659","96"
"869","1659","202"
"870","1662","331"
"871","1666","119"
"872","1670","342"
"873","1670","209"
"874","1670","209"
"875","1671","94"
"876","1672","280"
"877","1680","17"
"878","1681","280"
"879","1679","100"
"880","1683","280"
"881","1683","280"
"882","1687","97"
"883","1687","257"
"884","1687","81"
"885","1689","33"
"886","1689","33"
"887","1694","152"
"888","1696","117"
"889","1702","290"
"890","1703","232"
"891","1703","103"
"892","1705","70"
"893","1704","154"
"894","1704","313"
"895","1709","38"
"896","1713","250"
"897","1717","336"
"898","1718","284"
"899","1719","166"
"900","1722","275"
"901","1725","181"
"902","1725","16"
"903","1726","299"
"904","1727","319"
"905","1732","296"
"906","1733","175"
"907","1733","175"
"908","1734","331"
"909","1736","204"
"910","1737","94"
"911","1739","194"
"912","1736","213"
"913","1743","250"
"914","1748","324"
"915","1750","284"
"916","1750","266"
"917","1751","270"
"918","1751","227"
"919","1760","34"
"920","1762","287"
"921","1763","128"
"922","1776","284"
"923","1777","60"
"924","1781","237"
"925","1782","287"
"926","1783","348"
"927","1787","336"
"928","1790","218"
"929","1793","316"
"930","1795","319"
"931","1795","319"
"932","1797","246"
"933","1799","213"
"934","1799","21"
"935","1800","209"
"936","1805","228"
"937","1806","210"
"939","1815","273"
"940","1817","223"
"941","1820","331"
"942","1821","97"
"943","1824","331"
"944","1825","147"
"945","1828","334"
"946","1830","287"
"947","1832","17"
"948","1833","276"
"949","1833","112"
"950","1833","76"
"951","1833","289"
"952","1839","210"
"953","1839","153"
"954","1839","52"
"955","1844","327"
"956","1846","280"
"957","1847","247"
"958","1848","339"
"959","1851","12"
"960","1854","47"
"961","1855","310"
"962","1855","171"
"963","1857","295"
"964","1858","166"
"965","1839","200"
"966","1861","284"
"967","1863","65"
"968","1863","223"
"969","1865","215"
"970","1864","223"
"971","1867","221"
"972","1872","331"
"973","1873","17"
"974","1874","153"
"975","1874","52"
"976","1874","210"
"977","1874","83"
"978","1874","247"
"979","1876","345"
"980","1877","331"
"981","1881","245"
"982","1883","280"
"983","1887","280"
"984","1891","269"
"985","1891","269"
"986","1891","139"
"987","1891","289"
"988","1897","35"
"989","1898","336"
"990","1903","166"
"991","1906","326"
"992","1908","313"
"993","1909","276"
"994","1910","120"
"995","1910","98"
"996","1910","94"
"997","1918","163"
"998","1919","349"
"999","1920","250"
"1000","1922","314"
"1001","1923","94"
"1002","1925","340"
"1003","1928","339"
"1004","1928","184"
"1005","1933","137"
"1006","1934","324"
"1007","1935","305"
"1008","1938","357"
"1009","1939","310"
"1010","1944","313"
"1011","1944","233"
"1012","1945","339"
"1013","1951","280"
"1014","1953","223"
"1015","1958","329"
"1016","1960","83"
"1017","1962","117"
"1018","1964","268"
"1019","1967","60"
"1020","1968","110"
"1021","1969","223"
"1022","1969","56"
"1023","1970","275"
"1024","1971","318"
"1025","1443","49"
"1026","1976","244"
"1027","1977","223"
"1028","1978","13"
"1029","1982","13"
"1030","1983","340"
"1031","1986","166"
"1032","1987","339"
"1033","1989","33"
"1034","1990","280"
"1035","1996","184"
"1036","2000","262"
"1037","2003","271"
"1038","2005","156"
"1039","2007","244"
"1040","2011","166"
"1041","2013","81"
"1042","2014","204"
"1043","2021","166"
"1044","2023","70"
"1045","2025","278"
"1046","2036","268"
"1047","2040","6"
"1048","2040","6"
"1049","2040","239"
"1050","2046","17"
"1051","2046","327"
"1052","2047","305"
"1053","2048","191"
"1055","2049","331"
"1056","2051","284"
"1057","2053","22"
"1058","1991","228"
"1059","2057","148"
"1060","2059","307"
"1061","2061","284"
"1062","2063","336"
"1063","2064","172"
"1064","2064","184"
"1065","2073","349"
"1066","2073","280"
"1067","2076","287"
"1068","2078","271"
"1069","2079","112"
"1070","2082","261"
"1071","2086","90"
"1072","2086","79"
"1073","2086","365"
"1074","2086","151"
"1075","2085","167"
"1076","2089","94"
"1077","2092","324"
"1078","2092","353"
"1079","2102","148"
"1080","2103","161"
"1081","2103","184"
"1082","2104","287"
"1083","2105","223"
"1084","2111","30"
"1085","2113","303"
"1086","2113","115"
"1087","2115","314"
"1088","2115","169"
"1089","2115","345"
"1090","2115","156"
